Name,Stars,Review
Mohamed Tamer Nabarawy,1,2:30 hours delivery and customer service respond very late
Alia Hegazy,1,"late delivery. missing items, no replacement."
Farah El-badawi,2,So oily
Ahmed Hisham,1,wings were terrible
Yousuf,1,they removed delivery from 2KM far away from them. the whole 1st Settlement is out of zone although they're literally between 1st and 5th Settlement. they said they will fix it 2 months ago.
Diyala Ahmed,1,Very very bad experience! French frice is so oily and tastes so bad the worst french frice ever ! Too expensive for this quality of food
Kareem,1,I got different fries and the branch told me im getting refunded but I got nth
Fadi Michel Aziz,3,"Well, it tastes good but a little bit expensive."
Nada Kamel,5,
Lubna,5,PERFECTTT
Nada Amin,1,"The fries was open and was eaten from , this is beyond unprofessional"
Jannah,5,The buffalo sandwich is perfect 👌🏻 also they fixed that the chicken needed to be crunchier 👍🏻
Mohamed,1,Food was cold and not fresh
Ahmed Tawfeek,1,"The waffle fries were regular fries, the wings were awful and soggy. burger was bad, ironically the only good thing is the bread. the sauce is genuinely DISGUSTING. also the store called to tell me I qill be paying a higher price and after asking for..."
Exotic Doctor,1,I was disappointed the food was so cold and there wasn’t enough sauce no taste! and the delivery man asked for extra 5 le even tho i paid via credit card extra rude
Mohamed Amgad,5,O
Lena Elmangory,5,حلو اوي بجد
Lamees Farag,3,Didn’t receive the fries! Restaurant didn’t even care to call and apologize
Youmna Hegab,2,الاكل واصل بارد جدا
Ahmed Muhammad ElRakaiby,1,The wings were very salty! As if they poured half the salt bag in it!
Ahmad Hassan Elmasry,2,"Not value for money meal , meal is cold not well packed at all..portion is not big Nachos is very bad ..couldn’t eat it at l"
Ahmad Hassan Elmasry,3,"Food is not delicious and portion is bad , food is cold not packed well …not a value for money meal Nachos is shit"
Isabelle El Masry,2,The milkshake arrived melted. It tastes like chocolate milk not a cookies and cream milkshake.
Radwa,2,العنوان مكتوب عنده غلط و راح عمارة على اول الشارع بدل ما يجي على العنوان صح و كان متعصب جدا عليا بسبب ده ! رن جرس البيت كزا مرة الساعة ١٢ باليل و خض اللي كانوا نايمين. حسبي الله و نعم الوكيل فيه.
Yahia,5,Super underrated
Salma A. Ragab,5,It took alittle too long but the nachos was amazing!!! 10/10
Magy Abozaid,3,Soggy fries in oil
Kareem,1,Wrong location. Food arrived cold because driver went to wrong location .. fix your gps & tracking
Salma A. Ragab,5,"The best chicken burger you could try. Nachos are my favorite order from here, very convenient of them to separate the salad so it stayed crispy. Also loved the wings very much!!! Thank you for the friendly staff :)"
Nour,4,forgot the sauces for the order
Aseel,2,Inconsistent quality
Asmaa Ghazy,2,Order came cold due to late delivery
Margreet,5,👍
Qasim,3,المفروض تكون 12 قطعه وينجز دي تاني مره تجيني 11 قطعه الكرتونين كمان انا طالب اتنين
Farah Hussein,1,Cold food and very law quality and portion
mohamed samir,1,"Worst ever don’t even think to try it , late delivery, cold food , bad handling, no straws for beverages, they ignored comments on food and worst customer service"
Huda Amr,3,Food was cold again
Mohab,4,Read the description and don’t look at the picture it doesn’t like what u will get but the food was good
Omnya Mahmoud,5,الوينجز كانت وحشة اووى وبايته وباردة
Mobile Account,1,وصل بعد ساعتين بارد و مقرف محدش يطلب منه
WaadTareq,1,Terrible sandwich saggy bread burnt chicken no regular fries to pay more for cheese fries and the fries comes with a cheese side!
Mohamed,5,❤️❤️
Rana Salem,2,Cold food!
