Title,Category,Address,Logo
Ama Sushi,Made in Egypt Support Gaza Sushi,"Galleria Mall After Hyper One Nile University - Americana Plaza, Sheikh Zayed",https://s3-eu-west-1.amazonaws.com/elmenusv5-stg/Normal/027443f3-9ee9-4f1f-a715-5df6ee0b96bb.jpg
Munch & Shake,American,"Tivolli Dome, Omar Ibn Khattab St ( Delivery Only ) Almaza, Heliopolis",https://s3-eu-west-1.amazonaws.com/elmenusv5-stg/Normal/9a48939b-f7b2-4232-b2e0-c3e2ea588103.jpg
