Name,Stars,Review
Islam R Elsayed,1,سندوتش توستوك كفتة يحتوي على قطعة واحدة فقط من لحم الكفتة ومن المفروض قطعتين ويحتوي على كمية كبيرة جدا جدا من البصل في جميع السندوتشات الأربعة والطعام بارد جدا 😑😑 تجربة سيئة جدا لهذا الفرع نرجو الاهتمام
Youssef,1,الاوردر موصلش اصلا
Alaa Abdulfatah,1,الاكل بارد
Hazim Babiker,1,اكثر من ساعتين طالب ويجي الاكل بارد والطيران سلوكه سئ جدا
norhan ahmed,1,الطلب مجاش اصلا !!!!
Mahmoud Saad,5,شاورما لحمه حلوه جدا بالصوص السبايسي
Ahmed Elfauomy,1,cold
Ola El-Toukhy,2,The chicken shawerma was burnt and the rice undercooked.. What a shame
Ahmed Magdy,1,اسوء اكل الاكل كان فيه حشرات .. حسبي الله ونعم والكيل فيكم و الاوردر جه ناقص
Raneem,3,"I received my food cold , taste was great but it was too cold"
Shawanty,5,7lww
Shrouk Abdel Moniem,3,القيمة قليلة اوي اوي اوي اوي مقابل السعر كان ممكن اجيب كم اكبر من مكان تاني بجوده كويسه بنفس السعر
Razane,1,It comes cold
Helmi maher,5,
Youssef Ahmed Hassona,1,"the plate was half empty , tasted bad , lots of chicken tendons, didnt taste good overall"
Ahmad S Bakri,1,جاني ثوميه بدل طحينه مع الاسف وسلوك الطيار جدا سيء وبارد
MoHaMeD Usama,5,روعة
Yusuf Tamer,1,طلبت فتة ميكس جت فراخ بس ، طلمت ثومية زيادة جت أقل من العادي ،عملت إضافة جبنة مكنش فيه ولا نقطة جبنة حاجة بجد قلة أدب وعدم أمانة أنا حعمل شكوي في المحل
زياد خليفه,1,الطيار اخد ١٠ جنيه تيبس من غير ما يستأذني بلطجه يعني
Ahmed Kesho,2,الساندوتش صغير جداااا وغالي
Ahmed,5,Great. You can add option for tips in the online orders
Ahmed,1,"Very early delivery, before Iftar with 60 min , tasted cold & so bad ..."
Mark Nader,1,انا يوميها طلبت الاوردر الي بعد ٣ ساعات مجلد، يعني هو مش فاضل حاجة تانية ممكن تبقي غلط بالنسبة لبرنامج دليفري. هو الميزة المفروض انكو بتقدمو الاكل بسرعة بحالة كويسة دي شغلتكو، يعني هو كان فاضل ميجيش بس و تبقي خلاص كدا تقفلو و تفتحو محل كتاكيت مثلا
Adel Salem,1,طلبت سندوتش لارج واللي وصل سمول
HB Labs,5,ممتاز
Heba,2,الطلب من غير صوصات
jana aly,1,The chicken was not good AT ALL
Malak Tarek,1,الساندوتش ناشف جدًا تقريبًا اللي عمله نسى الصوص و ده مخلي التجربة سيئة جدًا 🤢 مختلف تمامًا عن كل مرة طلبته فيها
Mahmoud M. Nour Eldin,1,الاوردر غلط
عبير سمساعه,1,سلوك سيء جدا ويصرخ على الزبون
Lamis Samer,2,الفراخ في الساندويتش قليله اوي اوي شبه مش موجودة
Moe,1,الساندوتشات فاضيه محشي بطاطس و مخلل
Ziad Sadka,3,It was too cold
Boussaina Mayssara,3,I got different item
Mohamed saeed,2,I did not receive the drink with my order
Nada,1,الاكل بارد و فيه استهتار
Mohamed Ibrahim,1,The chicken is cold
Yasmin Mohamed,2,الاوردر ناقص علبه صوص ثوميه، و الشاورمه منغير شيدر!!!
maged,1,الفراخ ناشفه جدا ،
أبو أسامه الحارثي,3,الطلب وصل بارد
Majed HoSny,5,الافضل والانظف
Ahmed Essam,1,Not hot and not good iam very angry from that order
Tassnem Sameh,1,كان سئ للغايه والعيش بايت ومش محطوط في توستر زي الاعلان
Aya Hirano,2,Cole slaw was spoiled
Nadim,1,البطاطس عمرها ما كانت بالمنظر اللى هى فيه دى شربة زيت و مش مستوية وًحاجة تقلب البطن
Mohamed Lawlaby,5,Good
مريم الكندري,1,تاخر اويييي ساعتنين
Hanin Abouelyazeed,3,brought me big fresh not big cola!
Ziad Sadka,2,Wasn’t good at all
Baher Makram,1,الكفته غير سويه
Baher Makram,1,الارز بارد
Alaa Hamdy,1,الاوردر جه من غير عصير
Radwa Hamdy Mohamed,1,جوه السندوتش حتة بلاستيك. رمينا السندوتش للاسف😡
raghad,2,The bread is dry!! And chicken is tasteless
abdull rahman,5,The food tasted amazing Eating from it every-time im in alexandria 🫡
Mohamed Moustafa,1,تخيل ان دي ب١٦ ج .. عينة حرفيا مش عارف منزلنها في المنيو لية .. لا وجايبلي شوكة كبيرة بلاستيك انا اصلا لو استعملتها هتخلص في تاني شوكة !
Dina Ebrahim,3,طلبت ساندوتش شاورما كبير جالي ف عيش شامي عادي وغالي جدا على الجوده ال جتلي
Salma Hamada,1,تغليف سئ والحاجه جاية مفعصه ف بعض والساندويتش مفهوش اي صوص
yasmine,4,الكمية قليلة قوى
mina nashaat,5,عشره من عشره
Islam R Elsayed,1,سندوتش توستوك كفتة يحتوي على قطعة واحدة فقط من لحم الكفتة ومن المفروض قطعتين ويحتوي على كمية كبيرة جدا جدا من البصل في جميع السندوتشات الأربعة والطعام بارد جدا 😑😑 تجربة سيئة جدا لهذا الفرع نرجو الاهتمام
Youssef,1,الاوردر موصلش اصلا
Alaa Abdulfatah,1,الاكل بارد
Hazim Babiker,1,اكثر من ساعتين طالب ويجي الاكل بارد والطيران سلوكه سئ جدا
norhan ahmed,1,الطلب مجاش اصلا !!!!
