Name,Stars,Review
Hamada Sheha,4,الاكل فوق الممتاز والخدمة اكثر من رائعه خاصه مدير المحل مكان جميل واكيد هروحه تاني ............
Azza Salama,5,"excellent service and food ,delicious كله ممييز أرجوا ان تستمر والدليقري غاية في الذوق والادب"
Azza Salama,5,الخدمة ممتازة و الاطباق مميزية جدا والطمعم ممتاز ويستاهل خمس نجوم والدليفري غاية في الادب والاحترام
Sarah Basuony,5,تحفه جدا بجد تسلم ايديهم وخصوصا الصوصات الجديده بتاعتهم
Leen Saif,5,ا
Youssra M Adel,5,انا روحت المطعم فرع سبورتنج الناس كانوا في منتهي الذوق و الكرم و الاكل كان تحفة بجد و الايس كريم حلو اوي اوي انصح بالاكل جدا
Ahmed Gamal,5,طعم الفراخ وحش اوي و الكمية قليلة جدا و مش قيمة مقابل سعر خالص و الفاتورة جايالي 120 جنيه مع انها هنا في المنيوز طالع ب 110 و الاكل وحش اوي يقرف بجد
Dudo Said,1,سئ جدا جدا نصب
Dudo Said,1,بصراحة نصب الاكل قليل جدا والسعر عالي جدا مش عارفة علي اية حتا طعم الفراخ مش حلوة
Nour_mohamed2020 50,1,الاكل قليل اوى والسعر غالى جداا وبصراحه الاكل طعمو وحش وضحكو عليا وزودو فلوس ومش مسمحاهم حسبى الله
Nour_mohamed2020 50,1,اللكل وحش اوى والصوصات اوحش وغالى جدااااااا والاكل قليل اوى حسبى الله
Azza Salama,5,always the food is lovely but the rice today was very dry
صدمه صدمه,2,وقت توصيل كثير جدا
Mohamed Abotaleb,5,Excellent food. Tastes fresh. Recommended.
قرآن كريم,1,الاكل سئ جدا جدا والطعم وحش اوي والأكل قليل والفلوس كتييير
قرآن كريم,1,الاكل سئ جدا والاكل قليل جدا والأسعار غالية جدا
Mohamad Hamdan,5,ن
Farah Madkour,1,"Very small quantities, very expensive. They don’t put enough chicken, only sauce."
Moataz Al-Mahdy,1,I paid 15 pounds for delivery that I didn't know
Maxim Lucas,2,"late delivery. Too much oil in the sauce and taste is not good. the naan is not a real naan, it is like a gulash"
Safe Tarek Taher,5,very good Indian food
Ahmed Fawaz,2,Too much price for quality
wedad Aly,5,perfect food and amazing delivery service from elmenus team . Well done elmenus and keep it up 🌷👍
Maged Alokaily,5,Menus delivery guy was keeping the mask and arrived even earlier than time estimated while the food was hot & perfect. Thank you all for the great service 🌹
