Name,Stars,Review
Mohamed,1,يعني السواق جه العنوان غلط و مش مراعي اني معنديش شبكة مفكرش يستخدم واتساب مثلا ولما كلمته كلمني بمنتهي قلة الزوق و قالي اصل رجعت الفرع تاني(جمب البيت) افتح تليفونك و جه رمي الاوردر حرفيا و مشي
محمد عبدالوهاب نصر,5,أتمنى الرغيف يكون أكبر شوية
Mohamed Karam,4,F
مارو مارو,2,الاكل بارد
Ehab Atia,2,الاكل بارد
YOUSSEF ADEL,4,العيب إنه بياخد وقت كتير عقبال ما يوصل وال quality مش ثابته دايماً
Mahmoud Mansour,1,bad food experience
Marwan Omran,1,Food was so cold 🥶
Marwan Omran,1,الاكل واصل بارد جدااااا وانا جمب الفرع وشكرا
Hossam Ahmed,5,بس متنسوش تبعتوا جوانتي ويا ريت اي سلطات وطحينة ومناديل مطهرة عشان كذا مره بيجيلي من غير حوانتي
mohamed salem,1,"pls let the delivery have more money changes , as everytime i order from you , i face this with your delivery , He returns part of the changes and says i do not have more changes..which refelects bad image about you.."
Gehad Alaa,1,بششعععع
Mohab,5,مية مية بس صغير
Mahmoud ELsayed,3,الاكل بارد
Sherine Reda,4,its very small but tasted good
Amr Fawzii,1,خدمه سيئه عدى اكتر من ساعه و نص و الاكل مجاش و محدش في المطعم مهتم
Hossam Gemaei,4,حلو
Basma Dorgham,3,لااسف العيش طري مش مقرمش زي ما هو مفروض يكون
mahmoud eltoudy,1,جه أوردر غلط وارخص
W,2,It took over an hour to deliver 2 sandwiches.
Marwa,1,الاكل بشششششع بشع .. وحش جدا العيش باااااايت ووحش جداا جدا والسدق ملوش طعم
Nermeen Radwan,1,طلبت الجامبو وجالس صغير جدا والحشو مش زياده ولا حاجه وقعدت ساعتين عقبال ما وصل
Nour,1,didn't receive the extra cheese as I ordered
Hatem Mohamed,1,Tahina was expired
Mahmoud ElHalawany,2,اللحمة كميتها محتاجة تزيد والعيش بيشد والدهون كتير مش سيء بس محتاجين يحسنوا المستوى
Ahmed Kamal,1,طلبت الساعه ٧ ونص لحد الساعه ١٠ مفيش اكل وصل المطعم ولا اهتم بيا ولا حتى اعتذروا و نمت من غير عشا حاجه في منتهى قلة الاحترام بالزباين مع اني بطلب منهم كذا مره لكن حاجه في منتهى الاستهانه بالزباين و حقوقهم
Shaymaa Abd El-Mageed,1,وحش جدا
Shiko_information شيكو _ للمعلومات,3,العيش ناشف اووووي و وجعلي سناني
أحمد بدر,5,الطيار ممتاز الكهربا كانت قاطعة طلعلي للدور الثامن والحواوشي تحفة
Israa Emad,1,لقيت حصى في اللحمة، يقرف يقرف بجد انا كنت بقرقش حصى تحت اسناني
Ahmed Kamal,1,سيء بامتياز جالي أوردر خطأ و بارد و طعمه زي الزفت
Tarek Rmdevi,1,زي الزفت متأخر اكتر من ساعه ونص و الأكل جي بارد وجي ناقص ومدفعني حق الناقص ياعني مشوفتش كده في اي مطعم
Mohamed Yousif,1,العيش كان ناشف والحجم صغير جدا والطحينه سيئة للغايه
Basel,1,الاوردر موصلش
Basel,3,The order is late and cold
Maryam Elmahdy,1,الاكل وصل بارد كمية قليله جدا جدا طعم سئ
ahmed dyaa,1,الاضافة الكيرى مكنتش موجودة
Ahmed Nabeeh,1,اكتر من 3 ساعات وكول سنتر بعرفش يحل المشكلة وطيار سلوكه سيئ
Mahmoud Mohamed Eldip,3,الأوردر تأخر جدا جدا
Copy Alfilo Filo,5,ممكن كيس مخلل صغير مع الاكل ونوع التوابل يتغير بس
Mohamed,1,يعني السواق جه العنوان غلط و مش مراعي اني معنديش شبكة مفكرش يستخدم واتساب مثلا ولما كلمته كلمني بمنتهي قلة الزوق و قالي اصل رجعت الفرع تاني(جمب البيت) افتح تليفونك و جه رمي الاوردر حرفيا و مشي
محمد عبدالوهاب نصر,5,أتمنى الرغيف يكون أكبر شوية
Mohamed Karam,4,F
مارو مارو,2,الاكل بارد
Samar,1,Order arrived 1 hour late than promised delivery time. The cheesy mushroom hawawshi didn’t have any cheese on it! And had a lot of black pepper on it
محمد عبدالوهاب نصر,5,ممتاز
Ahmad Mahasnh,1,اسوء حواوشي اكلته في حياتي والكميه قليله جدا
Abdelrahman Mohammad Ali,2,طالب double جالي single و كلمت المطعم و البنت بتقلي الفرق بين الاتنين مش كبير ؟؟؟؟
Shady Saleh,1,الاوردر اخد اكتر من ساعتين ووصل بارد و غلط
Omar Korayem,1,The hawawshi with cheddar cheese came with a big tasty sauce on it and no cheese was out there
Muhamed Gamal,3,الاوردر قعد اكتر من ساعتيين للتوصيل وقبل كده كان ناقص طحينه وبلغت بيها وبرضه مجتش والاكل وصل بارد مش سخن
ahmed bomba,1,فاشلة و الاكل مجاش لحد دلوقتي
Ahmed Nabeeh,1,اكتر من ساعتين يامطعم يافاشل
Abdallah Masaafah,1,الاكل ما وصلش اصلا
Ahmed Nour,1,الأوردر وصل بعد اكتر من ساعتين و لم يتم الاستلام
Mohamed Saad,5,الاكل حلو جدا بس مشكلة الفكة باستمرار مع كل اوردر
Ahmed Mohammed Hassan,5,بصراحة رائع جدا كل شئ اشكركم جدا
Ahmed Reffat,2,حجم الرغيف صغير جدا كحجم ساندوتش الفول الشامي والسعر غالي مقابل القيمة.
Hazem Kamel,1,صغير اوي وغالي دا غير ان طعمه مقرف اول واخر مره اطلب منه
روجى يوسف,1,سئ جدا وكان بارد ومعجن وغالي لان الرغيف صغير جدا والسائق كان بيلف بيه رجالنا بعد العشاء وانا طلباه على الفطار طالبه من الساعه ٥ جاء الساعه ٨ العشاء واحنا صايمين عايزين تعويض من المطعم والسائق رقمي ٠١١٠١٦٥٨٦٠٣ المفروض في تعويض كانت وجبه عرض الخير فين...
روجى يوسف,1,زباله وحش جدا وصغير جدا وسئ للغايه وغالي اوي وجاي بارد جدا ومبهدل والسواق جابه متأخر بعد ميعاد الإفطار بساعه والسائق بارد جدا وكل مكلمه يقولي انا اجاي في الطريق وبعد مكلمه يضحك ويتأخر بعدها بنصف ساعه واكلمه تاني يتأخر تاني خد في الاوردر اكتر من ساعت...
Alaa Fath Alrahman,3,كان حلو جدا بس وصل بارد لان التوصيل اخد ساعة و ربع
Mina Ramez,5,ممتاز
abdelrhman,1,الاكل اتاخر جدا فول ملوووش طعمه بسطرمه طعمها يقرف
Samar,1,Order arrived 1 hour late than promised delivery time. The cheesy mushroom hawawshi didn’t have any cheese on it! And had a lot of black pepper on it
محمد عبدالوهاب نصر,5,ممتاز
Ahmad Mahasnh,1,اسوء حواوشي اكلته في حياتي والكميه قليله جدا
Abdelrahman Mohammad Ali,2,طالب double جالي single و كلمت المطعم و البنت بتقلي الفرق بين الاتنين مش كبير ؟؟؟؟
Shady Saleh,1,الاوردر اخد اكتر من ساعتين ووصل بارد و غلط
Omar Korayem,1,The hawawshi with cheddar cheese came with a big tasty sauce on it and no cheese was out there
Muhamed Gamal,3,الاوردر قعد اكتر من ساعتيين للتوصيل وقبل كده كان ناقص طحينه وبلغت بيها وبرضه مجتش والاكل وصل بارد مش سخن
ahmed bomba,1,فاشلة و الاكل مجاش لحد دلوقتي
Ahmed Nabeeh,1,اكتر من ساعتين يامطعم يافاشل
Abdallah Masaafah,1,الاكل ما وصلش اصلا
Ahmed Nour,1,الأوردر وصل بعد اكتر من ساعتين و لم يتم الاستلام
Mohamed Saad,5,الاكل حلو جدا بس مشكلة الفكة باستمرار مع كل اوردر
Ahmed Mohammed Hassan,5,بصراحة رائع جدا كل شئ اشكركم جدا
Ahmed Reffat,2,حجم الرغيف صغير جدا كحجم ساندوتش الفول الشامي والسعر غالي مقابل القيمة.
Hazem Kamel,1,صغير اوي وغالي دا غير ان طعمه مقرف اول واخر مره اطلب منه
روجى يوسف,1,سئ جدا وكان بارد ومعجن وغالي لان الرغيف صغير جدا والسائق كان بيلف بيه رجالنا بعد العشاء وانا طلباه على الفطار طالبه من الساعه ٥ جاء الساعه ٨ العشاء واحنا صايمين عايزين تعويض من المطعم والسائق رقمي ٠١١٠١٦٥٨٦٠٣ المفروض في تعويض كانت وجبه عرض الخير فين...
روجى يوسف,1,زباله وحش جدا وصغير جدا وسئ للغايه وغالي اوي وجاي بارد جدا ومبهدل والسواق جابه متأخر بعد ميعاد الإفطار بساعه والسائق بارد جدا وكل مكلمه يقولي انا اجاي في الطريق وبعد مكلمه يضحك ويتأخر بعدها بنصف ساعه واكلمه تاني يتأخر تاني خد في الاوردر اكتر من ساعت...
Alaa Fath Alrahman,3,كان حلو جدا بس وصل بارد لان التوصيل اخد ساعة و ربع
Mina Ramez,5,ممتاز
abdelrhman,1,الاكل اتاخر جدا فول ملوووش طعمه بسطرمه طعمها يقرف
Tawfik ElHout,1,اولا الاوردر جي غلط بدل البسطرمة جه حواوشي فراخ ثانيا الطيار بجد ولا فاهم حاجة ولا عارف يتكلم اصلا فاقد الوعي ولا شارب حاجة انا مش فاهم !!! مش عارف محطة ترام جناكليس مش عارف يمشي اصلا ولا يبص يمين ولا شمال كل ما اقول كلمة اعيدها ١٠٠ مرة ولا منتبه و...
Mahmoud,2,التوصيل في ساعتين ونص بيوصل بارد والطعم عادي جدا
Abdo Samy,3,التوصيل متأخر
Max Elmasre,1,الاوردر واخد ساعتين إلاربع علشان يوصل وصل بارد طلب كلة مليان ملح تجربة سيئة جدااااا
Rahma Ghanem,5,تووووحفة
Mahmoud Arafa,5,ممتاز جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا
Mahmoud Rashad,5,حلو جدا بصراحه التتبيلة والشوى على الفحم الله ينور الصراحه
Assem Abdelrahman abbas Dweek,5,الاوردر جالي الصراحة سخن وكان جميل جدا تتبيلة اللحمه حلوه والعيش جميل
Mohamed Ezz Elarab,5,Hawawshiy helw awe akl mazboot ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
Rehab Nasr Maher,5,المطعم اكله حلو جدا الحوواشى مظبوط مقاديره وتسوية والفطير الحلو تحفة
Mohamed Adel,5,احلى حواوشي في المجرة و اللي عنده حواوشي زينا نقوله يا عمنا
