Name,Stars,Review
Farha Moustafa,5,الاكل حلو اوي ونضيف وكمان وصل في المعاد مظبوط يمكن قبلها كمان شكرا ليكم💙
Gerges Youssef Khalbous,2,الاكل وصل بارد
Teefaa,1,اخر مره هطلب منكم
ياسمين محمد,5,سخن وجه بسرعة والطعن تحفة
Bassma Elsayed,5,it was really good but the portion is small
نجوى علي,3,الاكل وصل متأخر جدا وبارد بسبب تغيير الطيار على الابلكيشن واللوكيشن كات مش واضح للطيار مع اني كاتبه العنوان بالتفصيل بس المكان على الخريطه محطوط غلط خالص لكن الاكل كان كويس
Shady Emad Alhashash,1,طعم وحش جدا ويوجع البطن
Eslam Soliman,3,البطاطس مش حلوة
Mohamed Habeeb,2,الاوردر كان ناقص العيش والفراخ التتبيلة بتاعتها مش باينه خالص والبطاطس كميتها قليلة جدا
Omar Gamal,2,الصوص قليل
Mohamed Yassin,1,الاوردر سئ جدا
Noran Hussein,3,التتبيلة ضعيفه و البردينج خامق والعيش ناشف هو والكولسلو
Aml Amin Hameed,2,حجم الاسترالي بقي صغير وكميه البطاطس قلت والكوب سلو كرنب من غير جزر ولا صوص
Angham Abdel Rehim,1,اسوء طعم fried chicken ممكن حد ياكله .. اسوء اوردر ع الاطلاق الفراخ كلها زيت و مفيهاش تتبيلة و لا طعم بجد انا رميت الاكل مقدرتش اكمله من بشاعته و من طعم الزيت
Noran Hussein,3,اتقلي زياده
Haneen M-Ayoub,5,
Marwa Adel,2,not good taste
Mohamed Magdi,3,Saltless and breading was soft
Yasmina,1,Bbos
Reemoo,1,Thé driver is very bad
Noha,1,الاكل سئ جدا جدا بدون طعم مفيش تتبيلة للفراخ طالب ساندوتش راب طالعلي فيه دبوس بدل الستربس يعنى حاجه غريبة جدا العيش مش طازه بايت و مفرول بيستخدموا اسوء انواع البيكون عامل زى المطاط باكل حتة استك مش مستوية اخر تعامل مع المطعم الزبالة دة منصحش بيه ا...
queen,5,الكواليتى والاوردر تحفة بجد
Ahmed Abdellatief,1,اكل بارد وجع بطني والعيش كان ني يدوب شم الجريل، والرز بايت وحاجة آخر قرف الحقيقة، معرفش ليه كررت التجربة دي مع انها كل مرة بتبقى سيئة
Yomna Gamal,1,"i ordered 5 stripes pieces (breast), but i received 3 pieces (thighs)"
kareem Mohammed,3,كميات صغيره جدا
Donia,1,الاوردر جه غلط
Aya,3,.
