Name,Stars,Review
M Elkashef,1,تطبيق سئ.. الطلب لم يتم أصلا بسبب سوء تواصل elmenus مع المطعم. و المشكلة الأفظع إن تطبيقكم السئ انتحل شخصيتى و سجل إنى استلمت الأوردر .و انا مش عارف اتواصل معاهم ازاى أعرفهم إن الأوردر موصلش ولا حاجة. لأ وكمان طالب رأيى فى المهزلة دى.🤔
Mazen,2,الفراخ زفرة كالعادة
Mohamed Lawlaby,5,Good
وزـه,1,الكميه قليله جدا مستحيل ده يكون الي طلبته
mohamed amir,1,الاكل بارد والكميه صغيره جدا لا تساوي المبلغ المدفوع
محمد شحات,3,التومية طعمها مش مظبوط المرة دي كويس
Ashraf Attia,3,decent not the best in the world but def keeps the tank full
abdulrahman Shawky,1,الفراخ سيئة جدا ناشفة جدا وغير طازجة بالمرة والرز نفس الحال ناشف جدا وكإن الوجبة متحضرة من يومين اصبح المطعم لا يهتم بالنظافة ولا الجودة ابدا ويقدم اي طلبات متحضرة قديمة لا تأكل دون ضمير تجربة سيئة واخيرة
Fares Ahmed,1,الاكل بارد اوى والشاورما كانت قليله وبارده اوى
ismail,1,اقسم بالله الاكل مش حلو خااالص و لولا اني صايم مكنتش كلت بس في جزء كبير من الاكل انا رميته وربنا يسامحني الاكل وحش جدا جدا جدا اقسم بالله
Samya,1,الرز جالي حمضان وطعمه وحش وميتاكلش مش معقول نبقا دافعين فلوس في اكل ويجيلي حمضان !!!!!! انا كنت متعودة اطلب منكم علطول بس اول مرة الاكل يجي ميتاكلش
Mohamed Dawood,1,الاكل وصل بارد ومفهوش طعم ومعاه رغيف واحد
Ola Mohamed,1,الساندوتش طعمه سيء جدا و ريحة و طعم الزفارة صعب اوي
Islam Mohmad,5,ممتاز جدا وصاحب المحل راجل في قمه الروعه وزوق ولاكل كميه كبيره وناس كلها محترمه جدا اتمنى يكون فرع بحري* زي ده
Asmaa Abubakr,3,كان طعم البطاطس السوري احلى اول مرة لكن المرادي مكانتش احسن حاجه
Islam Bahgat (elarraf),3,مش حلو وناقص ملح وبهارات وعير شهي بالمرة
Mahmoud Ali,1,الأكل كان ساقع ومش طازة والرز معجن
Yasmin Yakout,5,Thank you for always delivering the best affordable food 🙏
Nadia N,4,انا مش عارف مش بتبعتو اى علبه ثوميه مع الاوردر ليه
Walied Kassem,5,شكرا
M Elkashef,1,تطبيق سئ.. الطلب لم يتم أصلا بسبب سوء تواصل elmenus مع المطعم. و المشكلة الأفظع إن تطبيقكم السئ انتحل شخصيتى و سجل إنى استلمت الأوردر .و انا مش عارف اتواصل معاهم ازاى أعرفهم إن الأوردر موصلش ولا حاجة. لأ وكمان طالب رأيى فى المهزلة دى.🤔
Mazen,2,الفراخ زفرة كالعادة
Mohamed Lawlaby,5,Good
وزـه,1,الكميه قليله جدا مستحيل ده يكون الي طلبته
mohamed amir,1,الاكل بارد والكميه صغيره جدا لا تساوي المبلغ المدفوع
محمد شحات,3,التومية طعمها مش مظبوط المرة دي كويس
Ashraf Attia,3,decent not the best in the world but def keeps the tank full
abdulrahman Shawky,1,الفراخ سيئة جدا ناشفة جدا وغير طازجة بالمرة والرز نفس الحال ناشف جدا وكإن الوجبة متحضرة من يومين اصبح المطعم لا يهتم بالنظافة ولا الجودة ابدا ويقدم اي طلبات متحضرة قديمة لا تأكل دون ضمير تجربة سيئة واخيرة
Fares Ahmed,1,الاكل بارد اوى والشاورما كانت قليله وبارده اوى
ismail,1,اقسم بالله الاكل مش حلو خااالص و لولا اني صايم مكنتش كلت بس في جزء كبير من الاكل انا رميته وربنا يسامحني الاكل وحش جدا جدا جدا اقسم بالله
Samya,1,الرز جالي حمضان وطعمه وحش وميتاكلش مش معقول نبقا دافعين فلوس في اكل ويجيلي حمضان !!!!!! انا كنت متعودة اطلب منكم علطول بس اول مرة الاكل يجي ميتاكلش
Mohamed Dawood,1,الاكل وصل بارد ومفهوش طعم ومعاه رغيف واحد
Ola Mohamed,1,الساندوتش طعمه سيء جدا و ريحة و طعم الزفارة صعب اوي
nour shehab,1,الاكل جي متفحم
Heba Saeed,1,الاكل غير طازج
Ahmed Kesho,5,ساندوتش شاورما فراخ صاروخ جميل جدا وبيشبع
Amr,4,The pasta had almost raw chicken and it was cold
SAMA Mohamed,1,عيش مش مستوي بشع
mina karam,1,order wasn't delivered
Amira,3,الاوردر اتاخر جدا
Mohamed Khaled Mohamed,1,ناقصه ملح وغالبا مش عليها ملح خالص
Momen Ahmed,1,العيش بايت و الشاورما مش كويسه
محمد ابراهيم,3,الجودة مرة ليك ومرة عليك
Adham Elkhodery,1,انا مستلمتش الاوردر واخر حاجة كنت اتوقعها سوء المعملة دي بجد وده هيبقي اخر تعامل تمامااااا مع المينوز.... الاورد ده اتخصم من الفيزا والمطعم بيقولي انه اتكنسل ومش عايز يوصله مع الدليفري وبلغته اني ضايف رقم ارضي رقم المطعم 01102122444 /01122444993
Fady Farag,1,The fries with mozzarella is disgusting
Habeba Salama,5,.
نور الدين,5,ممتاز
Abdalla Rgaee,5,Good
Ahmed Abass,1,الفراخ محروقه و تجربه زي الزفت و الاوردر اتأخر
Mohamed Elabass,1,نصيحه لوجه الله محدش يشتري من المطعم ده اكله سيء جدا والله
Mohamed Elabass,1,الفرخه كانت جايه بدمها وده بعد نص ساعه تسويه ف الاير فراير وف الاخر زي ماهي متاكلتش لان عدم التسويه من الاول عمل زفاره بشعه
Nourhan Ziada,1,تجربة سيئة جدا الاكل بارد ومش مستوي ومفيش تتبيلة
Aya Haggag,1,الاوردر سيء جدا والشاورما ناشفة ومحروقة والعيش مش طازة تجربة سيئة جدا
Islam Mohmad,5,ممتاز جدا وصاحب المحل راجل في قمه الروعه وزوق ولاكل كميه كبيره وناس كلها محترمه جدا اتمنى يكون فرع بحري* زي ده
Asmaa Abubakr,3,كان طعم البطاطس السوري احلى اول مرة لكن المرادي مكانتش احسن حاجه
Islam Bahgat (elarraf),3,مش حلو وناقص ملح وبهارات وعير شهي بالمرة
Mahmoud Ali,1,الأكل كان ساقع ومش طازة والرز معجن
Yasmin Yakout,5,Thank you for always delivering the best affordable food 🙏
Nadia N,4,انا مش عارف مش بتبعتو اى علبه ثوميه مع الاوردر ليه
Walied Kassem,5,شكرا
